mes,n_decisoes
2017-01-01,52056
2017-02-01,90594
2017-03-01,44099
2017-04-01,52928
2017-05-01,68039
2017-06-01,63847
2017-07-01,66037
2017-08-01,65053
2018-01-01,60959
2018-02-01,62788
2018-03-01,65238
2018-04-01,63853
2018-05-01,75449
2018-06-01,67752
2018-07-01,60842
2018-08-01,84911
2018-09-01,59876
2018-10-01,55461
2018-11-01,59912
2018-12-01,50896
2019-02-01,44028
2019-03-01,76855
2019-04-01,66718
2019-05-01,86232
2019-06-01,34724
2019-07-01,81735
2019-08-01,39231
2019-09-01,29599
2019-10-01,72043
2019-11-01,37963
2019-12-01,43052
2020-01-01,76139
2020-02-01,72050
2020-03-01,57362
2020-04-01,56981
2020-05-01,27158
2020-06-01,45414
2020-07-01,36074
2020-08-01,36676
2020-09-01,40328
2020-10-01,43622
2020-11-01,50159
2020-12-01,30928
2021-01-01,35132
2021-02-01,70916
2021-03-01,57695
2021-04-01,49476
2021-05-01,49237
2021-06-01,67102
2021-07-01,65709
2021-10-01,36829
2021-11-01,58670
2021-12-01,42885
2022-01-01,60742
2022-02-01,52210
2022-03-01,80498
2022-04-01,84292
2022-05-01,93731
2022-06-01,75216
2022-07-01,78482
2022-08-01,81383
2022-09-01,79551
2022-10-01,76784
2022-11-01,60779
2022-12-01,38426
2023-01-01,65225
2023-02-01,62374
2023-03-01,73335
2023-04-01,59402
2023-05-01,110278
2023-06-01,74555
2023-07-01,104203
2023-08-01,101419
2023-09-01,73096
2023-10-01,86247
2023-11-01,78909
2023-12-01,40647
2024-06-01,28800
2024-07-01,139782
2024-09-01,91055
2024-10-01,115866
2024-11-01,110608
2024-12-01,57518
2025-01-01,74045
2025-02-01,91007
2025-03-01,61093
2025-04-01,69338
2025-05-01,83194
2025-06-01,65538
2025-07-01,60965
2025-08-01,63885
2025-09-01,55396
2025-10-01,56500
2025-11-01,40040
2025-12-01,54835
