assunto,n
IPTU/ Imposto Predial e Territorial Urbano,2092880
Dívida Ativa,1720485
Assunto não informado.,653527
ISS/ Imposto sobre Serviços,351661
ICMS/ Imposto sobre Circulação de Mercadorias,202801
Taxa de Licenciamento de Estabelecimento,193586
Impostos,174892
IPVA - Imposto Sobre Propriedade de Veículos Automotores,149750
DIREITO TRIBUTÁRIO,145777
Fornecimento de Água,107671
Multas e demais Sanções,81215
Taxas,47485
Taxa de Coleta de Lixo,33648
Municipais,16570
Contribuições de Melhoria,14300
