tipo_sentença,len
"[""Extinta a Execução/Cumprimento da Sentença pela Satisfação da Obrigação""]",2398582
"[""Extinto o Processo sem Resolução do Mérito por Ausência das Condições da Ação""]",445356
"[""Declarada Decadência ou Prescrição""]",415522
"[""Extinto o Processo sem Resolução do Mérito por Desistência""]",324400
"[""Extinta a Punibilidade por Pagamento Integral do Débito""]",219986
"[""Extinta a Execução/Cumprimento da Sentença pela Renúncia ao Crédito pelo Credor""]",155722
"[""Extinto o Processo sem Resolução do Mérito por Desistência - Execução Fiscal - Artigo 485, VIII CPC - Sem Advogado""]",136093
"[""Extinta a Execução/Cumprimento da Sentença pela Remissão da Dívida, obtida p/ Transação ou Outro Meio""]",124273
"[""Extinto o Processo pelo Cancelamento da Dívida Ativa""]",112723
"[""Extinto o Processo sem Resolução do Mérito por Ausência de Pressupostos Processuais""]",101880
"[""Extinta a Execução pela Prescrição Intercorrente - Artigo 924, V CPC - Sem Advogado"", ""Extinta a Execução pela Prescrição Intercorrente - Artigo 924, V CPC - Sem Advogado""]",87253
[null],82677
"[""Indeferida a Petição Inicial sem Resolução do Mérito""]",71816
"[""Extinto o Processo sem Resolução do Mérito por Desistência"", ""Extinto o Processo sem Resolução do Mérito por Desistência""]",60507
"[""Extinta a Execução/Cumprimento da Sentença pela Satisfação da Obrigação"", ""Proferidas Outras Decisões não Especificadas""]",52831
