vara,n
SAF - Serviço de Anexo Fiscal,1307050
Vara da Fazenda Pública,961182
SEF - Setor de Execuções Fiscais,810625
Setor das Execuções Fiscais,433701
Vara Única,365926
1ª Vara da Fazenda Pública,326615
Vara das Execuções Fiscais Municipais,306917
2ª Vara da Fazenda Pública,292879
1ª Vara,190313
Setor de Execuções Fiscais,170360
SETOR DE EXECUÇÕES FISCAIS DA COMARCA DE GUARULHOS,126544
2ª Vara,115626
SEF - Setor das Execuções Fiscais,100471
SETOR DE EXECUÇÕES FISCAIS,75852
Vara das Execuções Fiscais Estaduais da Fazenda Pública,56687
